头结点	边	尾节点
536	contains	0
536	contains	1
536	contains	2
536	contains	3
536	contains	4
537	contains	5
537	contains	6
538	contains	7
539	contains	8
539	contains	9
540	contains	10
540	contains	11
540	contains	12
541	contains	13
543	contains	14
543	contains	15
543	contains	16
543	contains	17
543	contains	18
543	contains	19
543	contains	20
544	contains	21
544	contains	22
545	contains	23
546	contains	546
548	contains	25
548	contains	26
548	contains	27
549	contains	28
551	contains	29
552	contains	30
552	contains	31
552	contains	32
552	contains	33
553	contains	34
553	contains	35
553	contains	36
553	contains	37
553	contains	38
553	contains	39
553	contains	40
553	contains	41
553	contains	42
553	contains	43
553	contains	44
553	contains	45
553	contains	46
553	contains	47
553	contains	48
553	contains	49
553	contains	36
553	contains	50
554	contains	51
555	contains	52
555	contains	53
555	contains	54
555	contains	55
555	contains	56
555	contains	50
555	contains	57
555	contains	50
556	contains	58
556	contains	59
556	contains	60
557	contains	61
557	contains	62
558	contains	63
558	contains	64
558	contains	65
558	contains	66
559	contains	67
560	contains	6
560	contains	60
561	contains	68
561	contains	69
562	contains	70
563	contains	71
564	contains	72
565	contains	43
565	contains	40
565	contains	73
565	contains	74
565	contains	75
565	contains	40
565	contains	76
565	contains	77
565	contains	78
566	contains	79
566	contains	80
567	contains	81
567	contains	82
567	contains	83
568	contains	84
569	contains	85
569	contains	86
570	contains	87
570	contains	40
570	contains	74
571	contains	10
571	contains	88
571	contains	89
571	contains	90
571	contains	91
571	contains	92
571	contains	64
571	contains	93
571	contains	94
571	contains	95
572	contains	96
572	contains	88
572	contains	97
572	contains	98
573	contains	10
573	contains	99
573	contains	69
574	contains	100
574	contains	85
575	contains	101
575	contains	102
575	contains	103
575	contains	104
575	contains	105
576	contains	106
577	contains	107
577	contains	108
578	contains	109
578	contains	110
579	contains	111
580	contains	112
580	contains	113
580	contains	114
580	contains	115
580	contains	116
580	contains	117
581	contains	96
581	contains	118
582	contains	96
582	contains	119
583	contains	56
583	contains	120
584	contains	121
584	contains	122
584	contains	123
585	contains	124
586	contains	125
586	contains	9
586	contains	126
587	contains	127
587	contains	128
588	contains	129
588	contains	130
588	contains	131
588	contains	80
588	contains	132
588	contains	15
588	contains	133
588	contains	134
588	contains	135
588	contains	136
589	contains	137
590	contains	138
591	contains	139
592	contains	140
592	contains	141
722	contains	142
594	contains	143
595	contains	144
596	contains	129
596	contains	145
597	contains	146
597	contains	147
597	contains	148
597	contains	149
597	contains	150
598	contains	151
598	contains	152
598	contains	153
598	contains	9
598	contains	154
598	contains	138
598	contains	71
598	contains	155
599	contains	156
599	contains	157
599	contains	158
599	contains	64
599	contains	159
599	contains	58
600	contains	136
600	contains	64
600	contains	160
600	contains	153
600	contains	161
600	contains	64
600	contains	162
600	contains	163
601	contains	164
601	contains	138
602	contains	165
602	contains	62
602	contains	58
603	contains	146
603	contains	166
603	contains	167
603	contains	166
603	contains	168
603	contains	169
604	contains	170
604	contains	171
604	contains	172
604	contains	173
605	contains	174
606	contains	175
606	contains	176
606	contains	177
606	contains	130
607	contains	146
607	contains	178
607	contains	179
607	contains	180
608	contains	1
608	contains	181
608	contains	1
608	contains	182
608	contains	183
608	contains	184
608	contains	66
609	contains	185
610	contains	79
610	contains	186
611	contains	187
611	contains	188
611	contains	189
612	contains	190
613	contains	191
614	contains	192
614	contains	193
614	contains	163
615	contains	194
615	contains	195
615	contains	196
615	contains	197
615	contains	64
615	contains	64
615	contains	198
615	contains	199
615	contains	64
615	contains	200
615	contains	64
615	contains	201
616	contains	146
616	contains	202
617	contains	203
617	contains	128
617	contains	204
618	contains	205
619	contains	206
620	contains	207
621	contains	208
621	contains	209
621	contains	210
622	contains	211
622	contains	212
622	contains	213
623	contains	214
623	contains	215
623	contains	11
623	contains	216
623	contains	217
623	contains	218
623	contains	219
623	contains	220
623	contains	221
623	contains	222
623	contains	223
623	contains	224
623	contains	129
623	contains	163
624	contains	225
624	contains	129
624	contains	226
625	contains	227
625	contains	228
625	contains	229
625	contains	58
626	contains	230
626	contains	231
627	contains	232
628	contains	233
628	contains	154
628	contains	234
628	contains	6
629	contains	219
629	contains	235
629	contains	236
629	contains	237
630	contains	19
630	contains	238
631	contains	239
631	contains	240
632	contains	197
632	contains	241
632	contains	242
632	contains	243
632	contains	244
632	contains	136
633	contains	245
633	contains	246
633	contains	247
634	contains	248
634	contains	249
634	contains	250
634	contains	250
634	contains	251
634	contains	136
635	contains	252
635	contains	25
635	contains	253
635	contains	254
636	contains	255
637	contains	42
637	contains	255
638	contains	255
638	contains	68
639	contains	255
640	contains	256
640	contains	257
640	contains	258
640	contains	259
640	contains	260
641	contains	261
641	contains	262
641	contains	263
641	contains	255
642	contains	255
643	contains	255
644	contains	264
644	contains	64
644	contains	88
644	contains	255
644	contains	155
645	contains	14
645	contains	255
645	contains	265
646	contains	266
646	contains	88
646	contains	267
646	contains	255
647	contains	146
647	contains	255
648	contains	255
649	contains	155
649	contains	71
649	contains	255
650	contains	64
650	contains	255
650	contains	64
650	contains	223
651	contains	255
651	contains	268
652	contains	269
652	contains	88
652	contains	255
652	contains	207
652	contains	69
652	contains	270
653	contains	9
653	contains	64
653	contains	9
653	contains	71
653	contains	71
653	contains	64
653	contains	64
653	contains	58
653	contains	271
653	contains	272
653	contains	273
653	contains	64
653	contains	86
653	contains	274
654	contains	255
654	contains	275
654	contains	276
655	contains	277
655	contains	258
655	contains	278
656	contains	255
657	contains	279
657	contains	255
657	contains	280
658	contains	281
658	contains	255
659	contains	255
659	contains	69
660	contains	88
660	contains	282
660	contains	255
660	contains	147
661	contains	283
661	contains	267
661	contains	255
662	contains	284
662	contains	267
662	contains	255
663	contains	255
663	contains	169
663	contains	285
664	contains	286
664	contains	287
664	contains	288
664	contains	289
664	contains	138
664	contains	85
664	contains	14
664	contains	290
664	contains	291
664	contains	255
665	contains	267
665	contains	255
666	contains	88
666	contains	255
666	contains	22
666	contains	155
666	contains	269
667	contains	88
667	contains	267
667	contains	255
668	contains	255
668	contains	292
669	contains	255
